_______June_2022_____________T-AIRS(^S^o^N^C) Anomaly vs 2007-2016              
   i   j     lon     lat    array(i,j)
 138   3   95.00  -85.00        2.7173
 139   3   97.00  -85.00        2.7173
 140   3   99.00  -85.00        2.7173
 141   3  101.00  -85.00        2.7173
 142   3  103.00  -85.00        2.7173
 143   3  105.00  -85.00        2.7173
 144   3  107.00  -85.00        2.7173
 145   3  109.00  -85.00        2.7173
 146   3  111.00  -85.00        2.7173
 147   3  113.00  -85.00        2.7173
 148   3  115.00  -85.00        2.7173
 149   3  117.00  -85.00        2.7173
 150   3  119.00  -85.00        2.7173
 151   3  121.00  -85.00        2.7173
 152   3  123.00  -85.00        2.7173
 153   3  125.00  -85.00        2.7173
 154   3  127.00  -85.00        2.7173
 155   3  129.00  -85.00        2.7173
 156   3  131.00  -85.00        2.7173
 157   3  133.00  -85.00        2.7173
 158   3  135.00  -85.00        2.7173
 159   3  137.00  -85.00        2.7173
 160   3  139.00  -85.00        2.7173
 161   3  141.00  -85.00        2.7173
 162   3  143.00  -85.00        2.7173
 163   3  145.00  -85.00        2.7173
 164   3  147.00  -85.00        2.7173
 165   3  149.00  -85.00        2.7173
 166   3  151.00  -85.00        2.7173
 167   3  153.00  -85.00        2.7173
 168   3  155.00  -85.00        2.7173
 169   3  157.00  -85.00        2.7173
 170   3  159.00  -85.00        2.7173
 171   3  161.00  -85.00        2.7173
 172   3  163.00  -85.00        2.7173
 173   3  165.00  -85.00        2.7173
 174   3  167.00  -85.00        2.7173
 175   3  169.00  -85.00        2.7173
 176   3  171.00  -85.00        2.7173
 177   3  173.00  -85.00        2.7173
 178   3  175.00  -85.00        2.7173
 179   3  177.00  -85.00        2.7173
 180   3  179.00  -85.00        2.7173
   1   4 -179.00  -83.00        2.7173
   2   4 -177.00  -83.00        2.7173
   3   4 -175.00  -83.00        2.7173
   4   4 -173.00  -83.00        2.7173
   5   4 -171.00  -83.00        2.7173
   6   4 -169.00  -83.00        2.7173
   7   4 -167.00  -83.00        2.7173
   8   4 -165.00  -83.00        2.7173
   9   4 -163.00  -83.00        2.7173
  10   4 -161.00  -83.00        2.7173
  11   4 -159.00  -83.00        2.7173
  12   4 -157.00  -83.00        2.7173
  13   4 -155.00  -83.00        2.7173
  14   4 -153.00  -83.00        2.7173
  15   4 -151.00  -83.00        2.7173
  16   4 -149.00  -83.00        2.7173
  17   4 -147.00  -83.00        2.7173
  18   4 -145.00  -83.00        2.7173
  19   4 -143.00  -83.00        2.7173
  20   4 -141.00  -83.00        2.7173
  21   4 -139.00  -83.00        2.7173
  22   4 -137.00  -83.00        2.7173
  23   4 -135.00  -83.00        2.7173
  24   4 -133.00  -83.00        2.7173
  25   4 -131.00  -83.00        2.7173
  26   4 -129.00  -83.00        2.7173
  27   4 -127.00  -83.00        2.7173
  28   4 -125.00  -83.00        2.7173
  29   4 -123.00  -83.00        2.7173
  30   4 -121.00  -83.00        2.7173
  31   4 -119.00  -83.00        2.7173
  32   4 -117.00  -83.00        2.7173
  33   4 -115.00  -83.00        2.7173
  34   4 -113.00  -83.00        2.7173
  35   4 -111.00  -83.00        2.7173
  36   4 -109.00  -83.00        2.7173
  37   4 -107.00  -83.00        2.7173
  38   4 -105.00  -83.00        2.7173
  39   4 -103.00  -83.00        2.7173
  40   4 -101.00  -83.00        2.7173
  41   4  -99.00  -83.00        2.7173
  42   4  -97.00  -83.00        2.7173
  43   4  -95.00  -83.00        2.7173
  44   4  -93.00  -83.00        2.7173
  45   4  -91.00  -83.00        2.7173
  46   4  -89.00  -83.00        2.7173
  47   4  -87.00  -83.00        2.7173
  48   4  -85.00  -83.00        2.7173
  49   4  -83.00  -83.00        2.7173
  50   4  -81.00  -83.00        2.7173
  51   4  -79.00  -83.00        2.7173
  52   4  -77.00  -83.00        2.7173
  53   4  -75.00  -83.00        2.7173
  54   4  -73.00  -83.00        2.7173
  55   4  -71.00  -83.00        2.7173
  56   4  -69.00  -83.00        2.7173
  57   4  -67.00  -83.00        2.7173
  58   4  -65.00  -83.00        2.7173
  59   4  -63.00  -83.00        2.7173
  60   4  -61.00  -83.00        2.7173
  61   4  -59.00  -83.00        2.7173
  62   4  -57.00  -83.00        2.7173
  63   4  -55.00  -83.00        2.7173
  64   4  -53.00  -83.00        2.7173
  65   4  -51.00  -83.00        2.7173
  66   4  -49.00  -83.00        2.7173
